,constituency,state,Image,status,Vote,Margin,Candidate,Party
1448,INDORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - INDORE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/COMMR-2024-5423.jpg,lost,7179 , -1219572,COMRADE AJEET SINGH,Socialist Unity Centre Of India (COMMUNIST)
1449,INDORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - INDORE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/AYAZA-2024-20240426060518.jpg,lost,7096 , -1219655,AYAZ ALI,Independent
1450,INDORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - INDORE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ENGA-2024-8325.jpg,lost,3831 , -1222920,ENG. ARJUN PARIHAR,Independent
1451,INDORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - INDORE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/BASAN-2024-7232.jpg,lost,3676 , -1223075,BASANT GEHLOT,Jan Sangh Party
1452,INDORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - INDORE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/RAVIS-2024-5938.jpg,lost,2621 , -1224130,RAVI SIRWAIYA,Independent
1453,INDORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - INDORE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUDIT-2024-8148.jpg,lost,2609 , -1224142,MUDIT CHAURASIA,Independent
1454,INDORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - INDORE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PARMA-2024-20240426055900.jpg,lost,2403 , -1224348,PARMANAND TOLANI,Independent
1455,INDORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - INDORE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DESHB-2024-20240426060807.jpg,lost,1969 , -1224782,DESH BHAKT ANKIT GUPTA,Independent
1456,INDORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - INDORE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ADVOC-2024-8547.jpg,lost,1660 , -1225091,ADVOCATE PANKAJ GUPTE,Independent
1457,INDORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - INDORE  (Madhya Pradesh)

            ",img/nota.jpg,,218674 , -1008077,NOTA,None of the Above
1458,KHARGONE(27),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 27 - KHARGONE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GAJEN-2024-7697.jpg,won,819863 ,+ 135018,GAJENDRA SINGH PATEL,Bharatiya Janata Party
1459,KHARGONE(27),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 27 - KHARGONE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/PORLA-2024-5913.jpg,lost,684845 , -135018,PORLAL BATHA KHARTE,Indian National Congress
1460,KHARGONE(27),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 27 - KHARGONE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/DEVIS-2024-20240429081758.jpg,lost,14686 , -805177,DEVISINGH NARGAVE,Communist Party of India
1461,KHARGONE(27),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 27 - KHARGONE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/SHOBH-2024-7333.jpg,lost,12069 , -807794,SHOBHARAM DAWAR,Bahujan Samaj Party
1462,KHARGONE(27),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 27 - KHARGONE  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NARSI-2024-8373.jpg,lost,9058 , -810805,NARSINGH SOLANKI,Independent
1463,KHARGONE(27),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 27 - KHARGONE  (Madhya Pradesh)

            ",img/nota.jpg,,18257 , -801606,NOTA,None of the Above
1464,KHANDWA(28),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 28 - KHANDWA  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/GYANE-2024-20240430025118.jpg,won,862679 ,+ 269971,GYANESHWAR PATIL,Bharatiya Janata Party
1465,KHANDWA(28),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 28 - KHANDWA  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/NAREN-2024-6833.jpg,lost,592708 , -269971,NARENDRA PATEL,Indian National Congress
1466,KHANDWA(28),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 28 - KHANDWA  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MUNNA-2024-7760.jpg,lost,11818 , -850861,MUNNALAL S/O DHANNALAL TEJI,Bahujan Samaj Party
1467,KHANDWA(28),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 28 - KHANDWA  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/ABHIN-2024-8862.jpg,lost,9299 , -853380,ABHINESH SINGH,Rashtriya Jan Awaz Party
1468,KHANDWA(28),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 28 - KHANDWA  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/LAXMI-2024-7746.jpg,lost,4905 , -857774,LAXMI NARAYAN KATARE,Independent
1469,KHANDWA(28),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 28 - KHANDWA  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MANOJ-2024-20240430024726.jpg,lost,4347 , -858332,MANOJ KUMAR VISHWAMBHARNATH AGRAWAL,Independent
1470,KHANDWA(28),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 28 - KHANDWA  (Madhya Pradesh)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S12/MAHES-2024-7387.jpg,lost,3709 , -858970,MAHESH PAWAR,Peoples Party of India (Democratic)
